method,params,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.0}",0.9134,32.02,3.65,22.88,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.33}",0.9178,32.02,3.67,22.84,228
stack_3,"{'corrected': 0.0, 'graph': 0.8, 'adaptive_ridge': 0.2}",0.9627,32.46,3.85,22.83,228
visibility,"{'alpha': 2.0, 'sigma': 0.3}",0.9156,31.58,3.66,22.42,228
visibility,"{'alpha': 1.5, 'sigma': 0.08}",0.9474,31.58,3.79,22.11,228
stack_3,"{'corrected': 0.0, 'graph': 0.4, 'adaptive_ridge': 1.0}",1.0581,32.46,4.23,21.88,228
stack_3,"{'corrected': 0.2, 'graph': 0.4, 'adaptive_ridge': 0.8}",1.0614,32.02,4.25,21.4,228
stack_3,"{'corrected': 0.0, 'graph': 0.8, 'adaptive_ridge': 0.6}",1.1371,32.46,4.55,21.09,228
stack_3,"{'corrected': 0.2, 'graph': 0.8, 'adaptive_ridge': 0.4}",1.1382,32.46,4.55,21.07,228
stack_3,"{'corrected': 0.4, 'graph': 0.4, 'adaptive_ridge': 0.6}",1.0603,31.58,4.24,20.98,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.33}",1.1184,32.02,4.47,20.83,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.33}",1.148,31.58,4.59,20.1,228
stack_3,"{'corrected': 0.6, 'graph': 0.4, 'adaptive_ridge': 0.4}",1.0625,30.7,4.25,20.08,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.33}",1.1075,30.7,4.43,19.63,228
stack_3,"{'corrected': 0.4, 'graph': 0.8, 'adaptive_ridge': 0.2}",1.1404,30.7,4.56,19.3,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.0}",0.9474,28.51,3.79,19.04,228
stack_5,"{'corrected': 0.33, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.33}",1.1414,29.82,4.57,18.41,228
stack_3,"{'corrected': 0.2, 'graph': 1.0, 'adaptive_ridge': 0.0}",1.0384,28.51,4.15,18.12,228
stack_3,"{'corrected': 0.0, 'graph': 1.0, 'adaptive_ridge': 0.2}",1.0515,28.51,4.21,17.99,228
graph_match,"{'tol_y': 0.03, 'tol_area': 0.05}",1.0713,28.51,4.29,17.8,228
stack_3,"{'corrected': 0.0, 'graph': 1.0, 'adaptive_ridge': 0.0}",1.0713,28.51,4.29,17.8,228
stack_5,"{'corrected': 0.0, 'graph': 1.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",1.0713,28.51,4.29,17.8,228
stack_3,"{'corrected': 0.0, 'graph': 0.8, 'adaptive_ridge': 0.0}",1.0461,28.07,4.18,17.61,228
stack_3,"{'corrected': 0.6, 'graph': 0.8, 'adaptive_ridge': 0.0}",1.1414,28.95,4.57,17.53,228
stack_5,"{'corrected': 0.33, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.33}",1.1349,28.51,4.54,17.16,228
stack_3,"{'corrected': 0.8, 'graph': 0.4, 'adaptive_ridge': 0.2}",1.0757,27.63,4.3,16.88,228
graph_match,"{'tol_y': 0.03, 'tol_area': 0.08}",1.1118,27.63,4.45,16.51,228
stack_3,"{'corrected': 1.0, 'graph': 0.4, 'adaptive_ridge': 0.0}",1.0735,27.19,4.29,16.46,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.0}",0.955,25.88,3.82,16.33,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.66, 'rich_cluster': 0.33}",1.1184,27.19,4.47,16.01,228
stack_5,"{'corrected': 0.33, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",0.9496,25.44,3.8,15.94,228
stack_3,"{'corrected': 0.2, 'graph': 0.2, 'adaptive_ridge': 1.0}",1.0822,26.32,4.33,15.49,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 1.0, 'rich_cluster': 0.33}",1.1075,26.32,4.43,15.24,228
graph_match,"{'tol_y': 0.05, 'tol_area': 0.02}",1.0822,25.88,4.33,15.05,228
graph_match,"{'tol_y': 0.03, 'tol_area': 0.03}",1.0844,25.88,4.34,15.03,228
graph_match,"{'tol_y': 0.03, 'tol_area': 0.1}",1.1349,26.32,4.54,14.97,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.0}",0.9781,24.56,3.91,14.78,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",1.1272,25.88,4.51,14.61,228
