tree_id,split,selected_method,unstable_gate,total_det,B1_ratio,B2_ratio,B3_ratio,B4_ratio,B4_yrange,d_ac_bvg_B3,d_ac_cag_B2,B1_pred,B2_pred,B3_pred,B4_pred,B1_gt,B2_gt,B3_gt,B4_gt
DAMIMAS_A21B_0631,train,adaptive_corrected,False,10,0.0,2.5,2.5,0.0,0.0,0,0,0,3,3,0,0,3,3,0
DAMIMAS_A21B_0632,train,adaptive_corrected,False,34,3.0,2.3333,3.0,3.0,0.1344,2,0,3,4,10,4,3,4,10,4
DAMIMAS_A21B_0633,train,adaptive_corrected,False,4,0.0,0.0,2.0,0.0,0.0,0,0,0,0,2,0,0,0,2,0
DAMIMAS_A21B_0634,train,adaptive_corrected,False,29,3.5,3.3333,3.0,3.0,0.1223,1,0,4,6,4,4,4,5,4,3
DAMIMAS_A21B_0635,train,adaptive_corrected,False,29,3.0,3.6667,2.3333,2.5,0.0292,0,0,3,7,4,3,3,7,5,3
DAMIMAS_A21B_0636,train,adaptive_corrected,False,19,0.0,2.0,3.25,2.0,0.0658,0,0,0,1,7,2,0,1,7,3
DAMIMAS_A21B_0637,train,adaptive_corrected,False,8,3.0,0.0,3.0,2.0,0.074,0,0,1,0,2,1,2,0,2,1
DAMIMAS_A21B_0638,train,adaptive_corrected,False,21,3.5,3.0,3.0,2.0,0.0309,0,-1,4,3,3,1,4,3,4,1
DAMIMAS_A21B_0639,train,adaptive_corrected,False,24,4.0,2.0,3.4,1.0,0.0,1,0,2,1,10,1,2,1,10,1
DAMIMAS_A21B_0640,train,adaptive_corrected,False,25,2.0,2.5,3.5,2.0,0.1277,0,0,1,3,8,3,1,3,7,3
DAMIMAS_A21B_0641,train,adaptive_corrected,False,26,3.0,2.5,3.0,3.0,0.182,0,0,3,3,5,4,3,3,5,4
DAMIMAS_A21B_0642,train,adaptive_corrected,False,14,2.0,2.0,2.0,2.0,0.0383,0,0,1,1,3,2,1,1,3,3
DAMIMAS_A21B_0644,train,adaptive_corrected,False,23,0.0,3.0,3.5,3.0,0.0994,0,0,0,2,8,4,0,2,7,3
