tree_id,split,B1_gt,B1_naive,B1_err,B2_gt,B2_naive,B2_err,B3_gt,B3_naive,B3_err,B4_gt,B4_naive,B4_err,total_gt,total_naive,MAE_overall
DAMIMAS_A21B_0551,test,3,7,4,3,6,3,7,12,5,4,6,2,17,31,3.5
DAMIMAS_A21B_0552,test,3,7,4,4,7,3,2,4,2,0,0,0,9,18,2.25
DAMIMAS_A21B_0553,test,1,3,2,1,3,2,5,10,5,3,4,1,10,20,2.5
DAMIMAS_A21B_0554,test,2,4,2,3,6,3,4,10,6,5,11,6,14,31,4.25
DAMIMAS_A21B_0555,test,0,0,0,3,7,4,3,7,4,1,2,1,7,16,2.25
DAMIMAS_A21B_0556,test,2,4,2,4,8,4,4,8,4,3,4,1,13,24,2.75
DAMIMAS_A21B_0557,test,1,3,2,1,2,1,3,9,6,4,8,4,9,22,3.25
DAMIMAS_A21B_0558,test,0,0,0,3,8,5,4,9,5,3,6,3,10,23,3.25
DAMIMAS_A21B_0559,test,0,0,0,0,0,0,0,0,0,7,11,4,7,11,1.0
DAMIMAS_A21B_0560,test,0,0,0,2,4,2,3,6,3,0,0,0,5,10,1.25
DAMIMAS_A21B_0561,test,1,2,1,2,4,2,6,10,4,3,7,4,12,23,2.75
DAMIMAS_A21B_0562,test,2,4,2,4,7,3,6,8,2,4,6,2,16,25,2.25
DAMIMAS_A21B_0563,test,2,5,3,3,5,2,4,8,4,0,0,0,9,18,2.25
DAMIMAS_A21B_0564,test,3,6,3,2,3,1,4,6,2,3,6,3,12,21,2.25
DAMIMAS_A21B_0565,test,0,0,0,0,0,0,6,12,6,4,8,4,10,20,2.5
DAMIMAS_A21B_0566,test,1,3,2,4,8,4,5,10,5,3,6,3,13,27,3.5
DAMIMAS_A21B_0567,test,3,6,3,4,7,3,5,10,5,2,4,2,14,27,3.25
DAMIMAS_A21B_0568,test,2,4,2,3,5,2,4,7,3,3,6,3,12,22,2.5
DAMIMAS_A21B_0569,test,2,5,3,2,4,2,4,8,4,6,7,1,14,24,2.5
DAMIMAS_A21B_0570,test,0,0,0,3,5,2,5,11,6,3,6,3,11,22,2.75
DAMIMAS_A21B_0571,test,3,6,3,6,8,2,6,10,4,1,1,0,16,25,2.25
DAMIMAS_A21B_0572,test,2,4,2,3,6,3,2,2,0,2,4,2,9,16,1.75
DAMIMAS_A21B_0573,test,0,0,0,2,5,3,3,6,3,9,13,4,14,24,2.5
DAMIMAS_A21B_0574,test,0,0,0,0,0,0,3,9,6,2,4,2,5,13,2.0
DAMIMAS_A21B_0575,test,3,6,3,3,6,3,6,11,5,3,5,2,15,28,3.25
DAMIMAS_A21B_0576,test,3,5,2,5,7,2,4,7,3,4,6,2,16,25,2.25
DAMIMAS_A21B_0284,train,1,2,1,2,5,3,3,6,3,1,3,2,7,16,2.25
DAMIMAS_A21B_0285,train,4,8,4,2,4,2,7,12,5,5,8,3,18,32,3.5
DAMIMAS_A21B_0286,train,1,3,2,3,5,2,5,8,3,1,3,2,10,19,2.25
DAMIMAS_A21B_0287,train,2,6,4,3,8,5,0,0,0,0,0,0,5,14,2.25
DAMIMAS_A21B_0288,train,1,1,0,2,3,1,6,11,5,4,6,2,13,21,2.0
DAMIMAS_A21B_0046,train,0,0,0,0,0,0,3,7,4,3,7,4,6,14,2.0
DAMIMAS_A21B_0289,train,1,2,1,2,3,1,7,9,2,0,0,0,10,14,1.0
DAMIMAS_A21B_0047,train,0,0,0,1,3,2,4,8,4,1,2,1,6,13,1.75
DAMIMAS_A21B_0290,train,0,0,0,1,1,0,7,14,7,0,0,0,8,15,1.75
DAMIMAS_A21B_0048,train,0,0,0,1,1,0,6,12,6,3,5,2,10,18,2.0
DAMIMAS_A21B_0291,train,3,5,2,5,8,3,5,6,1,3,4,1,16,23,1.75
DAMIMAS_A21B_0049,train,0,0,0,0,0,0,5,9,4,3,4,1,8,13,1.25
DAMIMAS_A21B_0292,train,0,0,0,3,5,2,7,14,7,4,5,1,14,24,2.5
DAMIMAS_A21B_0050,train,2,4,2,0,0,0,3,7,4,2,4,2,7,15,2.0
DAMIMAS_A21B_0293,train,0,0,0,2,2,0,7,10,3,4,6,2,13,18,1.25
DAMIMAS_A21B_0051,train,0,0,0,1,2,1,9,17,8,4,6,2,14,25,2.75
DAMIMAS_A21B_0294,train,0,0,0,2,4,2,10,17,7,3,3,0,15,24,2.25
DAMIMAS_A21B_0052,train,2,4,2,3,5,2,9,15,6,1,1,0,15,25,2.5
DAMIMAS_A21B_0295,train,0,0,0,3,4,1,7,11,4,2,2,0,12,17,1.25
DAMIMAS_A21B_0053,train,0,0,0,2,3,1,5,9,4,2,3,1,9,15,1.5
DAMIMAS_A21B_0296,train,1,2,1,3,8,5,1,1,0,0,0,0,5,11,1.5
DAMIMAS_A21B_0054,train,0,0,0,2,5,3,5,9,4,4,6,2,11,20,2.25
DAMIMAS_A21B_0297,train,0,0,0,0,0,0,7,13,6,2,4,2,9,17,2.0
DAMIMAS_A21B_0055,train,1,2,1,3,5,2,7,13,6,2,2,0,13,22,2.25
DAMIMAS_A21B_0298,train,1,4,3,0,0,0,6,12,6,3,6,3,10,22,3.0
DAMIMAS_A21B_0056,train,1,2,1,1,2,1,4,7,3,2,4,2,8,15,1.75
DAMIMAS_A21B_0299,train,1,3,2,2,3,1,6,12,6,0,0,0,9,18,2.25
DAMIMAS_A21B_0057,train,2,4,2,1,2,1,6,11,5,4,7,3,13,24,2.75
DAMIMAS_A21B_0300,train,1,1,0,0,0,0,5,10,5,2,2,0,8,13,1.25
DAMIMAS_A21B_0058,train,1,3,2,1,2,1,3,7,4,2,4,2,7,16,2.25
DAMIMAS_A21B_0301,train,1,1,0,1,1,0,9,15,6,2,3,1,13,20,1.75
DAMIMAS_A21B_0059,train,1,3,2,1,2,1,2,5,3,0,0,0,4,10,1.5
DAMIMAS_A21B_0302,train,1,3,2,1,1,0,7,11,4,0,0,0,9,15,1.5
DAMIMAS_A21B_0060,train,0,0,0,1,2,1,5,12,7,1,2,1,7,16,2.25
DAMIMAS_A21B_0303,train,0,0,0,0,0,0,10,21,11,0,0,0,10,21,2.75
DAMIMAS_A21B_0061,train,1,2,1,0,0,0,8,17,9,1,2,1,10,21,2.75
DAMIMAS_A21B_0304,train,0,0,0,1,1,0,4,9,5,4,8,4,9,18,2.25
DAMIMAS_A21B_0062,train,0,0,0,2,6,4,3,7,4,2,3,1,7,16,2.25
DAMIMAS_A21B_0305,train,2,4,2,4,6,2,6,11,5,2,4,2,14,25,2.75
DAMIMAS_A21B_0063,train,2,4,2,1,2,1,5,10,5,0,0,0,8,16,2.0
DAMIMAS_A21B_0306,train,1,2,1,0,0,0,4,7,3,0,0,0,5,9,1.0
DAMIMAS_A21B_0064,train,0,0,0,1,3,2,5,10,5,0,0,0,6,13,1.75
DAMIMAS_A21B_0307,train,1,3,2,1,1,0,5,10,5,0,0,0,7,14,1.75
DAMIMAS_A21B_0065,train,2,5,3,1,2,1,6,12,6,3,6,3,12,25,3.25
DAMIMAS_A21B_0308,train,1,2,1,1,2,1,3,6,3,3,5,2,8,15,1.75
DAMIMAS_A21B_0066,train,2,4,2,2,4,2,5,10,5,5,9,4,14,27,3.25
